circRNA Name,Disease Name,Species,miRNA validated,miRNA predicted,miRNA target,RBP validated
hsa_circ_0001785,Breast cancer,Human,miR-942,,SOCS3,
Hsa_circ_0086996,Osteosarcoma,Human,miR-125b-5p,,,
circ_0000043,Breast cancer,Human,miR-136,,Smad3,
chr7:154954255-154998784+,Pancreatic cancer,Human,miR-4459,,KIAA0513,
circPPM1F,Type 1 diabetes mellitus,Human,,,,HuR 
circ_0028171,Osteosarcoma,Human,miR-218-5p,,IKBKB,
circ_0000285,Osteosarcoma,Human,miR-409-3p,,IGFBP3,
circ_0091581,Hepatocellular carcinoma,Human,miR-591,,FOSL2,
CircCDH13,Osteoarthritis,Human,miR-296-3p,,PTEN,
"circ-102,166",Hepatocellular carcinoma,Human,"miR-182, miR-184",,,
CircDENND2A,Non-small cell lung cancer,Human,MiR-34a,,CCNE1,
circITCH,Multiple myeloma,Human,miR-615-3p,,PRKCD,
hsa_circ_0005556,Gastric cancer,Human,miR-4270,,MMP19,
circABCC4,Breast cancer,Human,miR-154-5p,,,
circ_0020394,Bladder cancer,Human,miR-328-3p,,NRBP1,
circPTK2,Hepatocellular carcinoma,Human,miR-92a,,E-cadherin,
circHIPK3,Non-small cell lung cancer,Human,miR-107,,BDNF,
Circ_0010729,Hypoxia-induced cardiomyocyte injuries ,Human,miR-27a-3p,,TRAF5,
circ_C16orf62,Gastric cancer,Human,miR-421,,TUBB2A,Ago2
circEXOC6B,Ovarian cancer,Human,miR-376c-3p,,FOXO3,Ago2
hsa_circ_0000284,Glioma,Human,miR-124,,CCND2,"AGO1, AGO2, and AGO3"
Circ-MEMO1,Non-small cell lung cancer,Human,miR-101-3p,,KRAS,
hsa_circ_0132813,Neuroblastoma,Human,miR-16-5p,,DMRT2,
circRNA_001937,Cutaneous squamous cell carcinoma,Human,miR‑597‑3p,,FOSL2,
circPSMC3,Esophageal squamous cell carcinoma,Human,miR-10a-5p,,PTEN,
CircFOXP1,Osteoporosis,Human,miR-33a-5p,,,
hsa_circ_0000231,Colorectal cancer,Human,miR-502-5p,,MYO6,
circ-PRKCI,Sepsis,Human,miR-545,,,
hsa_circ_0016068,Prostate cancer,Human,miR-330-3p,,BMI-1,
hsa_circ_0000285,Cervical cancer,Human,miR197-3p,,ELK1,
hsa_circ_0007031,Colorectal cancer,Human,miR-760,,DCP1A,
hsa_circ_0001721,Osteosarcoma,Human,miR-372-3p,,MAPK7,
hsa_circ_0003496,Osteosarcoma,Human,miR-370,,KLF12,
circTTBK2,Glioma,Human,miR-145-5p,,CPEB4,
CircFLNA,Gastric cancer,Human,miR-646,,PFKFB2,
hsa_circ_0003928,Diabetic nephropathy,Human,miR-151-3p,,Anxa2,
circNELL2,Esophageal squamous cell carcinoma,Human,miR-127-5p,,CDC6,
circKRT7,Ovarian cancer,Human,miR-29a-3p,,COL1A1,
circPVT1,Breast cancer,Human,miR-204-5p,,,
circKIF4A,Ovarian cancer,Human,miR-127,,,
CDR1as,Lung squamous cell carcinoma,Human,miR-671-5p,,CDR1,
hsa_circ_0000936,Glioma,Human,miR-1294,,,
hsa_circ_0005785,Hepatocellular carcinoma,Human,miR-578,,APRIL,
hsa_circ_0000142,Multiple myeloma,Human,miR-610,,AKT3,
CircZNF609,Nasopharyngeal carcinoma,Human,miR-338-3p,,HRAS,
circGLIS2,Colorectal cancer,Human,miR-671,,NF-κB,
circKMT2D,Osteosarcoma,Human,miR-210,,,
hsa_circ_0004840,Osteosarcoma,Human,miR-370,,PIM1,
hsa_circ_0001649,Osteosarcoma,Human,"miR-338-5p, miR-647, miR-942",,,
CircRIMS,Gastric cancer,Human,"miR-148a-5p, miR-218-5p",,,
circRGPD6,Breast cancer,Human,miR-26b,,YAF2,
hsa_circ_0045602,Gastric cancer,Human,miR-302b-3p,,ROCK2,
circPVT1,Gastric cancer,Human,miR‑195‑5p,,E26,
hsa_circ_0010283,Atherosclerosis,Human,miR‑370‑3p,,HMGB1,
hsa_circ_0005728,Triple negative breast cancer,Human,miR-512-3p,,CDCA3,
Circ-ZNF652,Hepatocellular carcinoma,Human,miR-29a-3p,,GUCD1,
hsa_circ_0000615,Prostate cancer,Human,miR-501-3p,,HK2,
circ-NCOR2,Papillary thyroid carcinoma,Human,miR-516a-5p,,MTA2,
hsa_circ_0086720,Non-small cell lung cancer,Human,miR-375,,SPIN1,
circSCAR ,Nonalcoholic steatohepatitis,Human,mPTP,,ATP5B,
circPTCH1,Renal cell carcinoma,Human,miR-485-5p,,MMP14,
circPRKCB,Ischemia reperfusion injury,Human,miR-339-5p,,p66Shc,
hsa_circ_0001944,Bladder cancer,Human,miR-548,,PROK2,
CircATP2B4,Pulmonary arterial hypertension,Human,miR-223,,ATR,
circASAP1,Glioblastoma,Human,miR-502-5p,,NRAS,
hsa_circ_0008737,Atrial fibrillation,Human,miR-328,,,
circRNA_1837,Atrial fibrillation,Human,miR-328,,,
hsa_circ_0001240,Atrial fibrillation,Human,miR-328,,,
circRNA_7571,Atrial fibrillation,Human,miR-328,,,
hsa_circ_0062426,Atrial fibrillation,Human,miR-328,,,
circRNA_7386,Atrial fibrillation,Human,miR-328,,,
hsa_circ_0006109,Atrial fibrillation,Human,miR-328,,,
Has_circRPPH_015,Breast cancer,Human,miRNA-326,,ELK1,Ago2
hsa_circ_0006156,Bladder cancer,Human,miR-1178-3p,,"G3BP2, SRC, FAK",
circ-ITCH,Ovarian cancer,Human,miR-106a,,CDH1,
hsa_circ_0001313,Colon cancer,Human,miR-338-3p,,,Ago2
hsa_circ_0001724,Colon cancer,Human,miR-106b,,CDK6,
circCER,Breast cancer,Human,miR-136,,MMP13,
hsa_circ_0072309,Breast cancer,Human,miR-492,,,
circKIF4A,Triple negative breast cancer,Human,miR-375,,,
hsa_circ_0001368,Gastric cancer,Human,miR-6506-5p,,FOXO3,
circ-ERBB2,Gastric cancer,Human,"miR503, miR-637",,"CACUL1, MMP-19",
CircPSMC3,Gastric cancer,Human,miR-296-5p,,,Ago2
hsa_circ_0001445,Cervical cancer,Human,miR-620,,,
hsa_circ_0000263,Cervical cancer,Human,miR-150-5p,,"MDM4, p53",
hsa_circ_0067934,Cervical cancer,Human,miR-545,,EIF3C,
ciRS-7,Esophageal squamous cell carcinoma,Human,miR-7,,KLF4,
hsa_circ_0074027,Glioblastoma,Human,miR-518a-5p,,IL17RD,
hsa_circ_0001946,Glioblastoma,Human,miR-671-5p,,CDR1,
hsa_circ_0029426,Glioblastoma,Human,miR-197,,,
hsa_circ_0000284,Prostate cancer,Human,miR-193a-3p,,MCL1,
hsa_circ_0000190,Multiple myeloma,Human,miR-767-5p,,MAPK4,
hsa_circ_100290,Acute myeloid leukemia,Human,miR-203,,Rab10,
hsa_circ_0080145,Chronic myeloid leukemia,Human,miR-29b,,,
hsa_circ_0000488,Acute myeloid leukemia,Human,miR-496,,,
circRAPGEF5,Papillary thyroid carcinoma,Human,miR-198,,FGFR1,
circDOCK1,Thyroid cancer,Human,miR-124,,,
circ_LDLR,Papillary thyroid carcinoma,Human,miR-195-5p,,LIPH,
CircTP53,Thyroid cancer,Human,miR-1233-3p,,MDM2,
CircPRMT5,Papillary thyroid carcinoma,Human,miR-30c,,E2F3,
hsa_circ_0058124,Thyroid cancer,Human,miR-940,,,
hsa_circ_0011385,Thyroid cancer,Human,miR-361-3p,,,
hsa_circ_0025033,Papillary thyroid carcinoma,Human,miR-1179,,,
hsa_circ_0006156,Papillary thyroid carcinoma,Human,miR-1178,,TLR4,
hsa_circ_0067934,Thyroid cancer,Human,miR-1304,,CXCR1,
hsa_circ_0039411,Papillary thyroid carcinoma,Human,"miR-1179, miR-1205",,"ABCA9, MTA1",
circZFR,Papillary thyroid carcinoma,Human,miR-1261,,C8orf4,
hsa_circ_0008309,Oral squamous cell carcinoma,Human,"miR-136-5P, miR-382-5P",,ATXN1,
hsa_circ_0000140,Oral squamous cell carcinoma,Human,miR-31,,LATS2,
hsa_circ_0001742,Tongue squamous cell carcinoma,Human,miR-634,,RAB1A,
hsa_circ_0001821,Oral squamous cell carcinoma,Human,miR‑125b,,STAT3 ,
circ-PKD2,Oral squamous cell carcinoma,Human,miR-204-3p,,APC2,
circDOCK1,Oral squamous cell carcinoma,Human,miR‑196a‑5p,,BIRC3,
hsa_circRNA_100533,Oral squamous cell carcinoma,Human,miR-933,,GNAS,
hsa_circ_0001162,Oral squamous cell carcinoma,Human,miR-149 ,,AUF1,
hsa_circ_0002185,Oral squamous cell carcinoma,Human,miR-526b-5p,,"c-Myc, TGF-β1, ESRP1",
hsa_circRNA_100290,Oral squamous cell carcinoma,Human,miR-378a,,GLUT1,
hsa_circ_0055538,Oral squamous cell carcinoma,Human,,,p53,
circATRNL1,Oral squamous cell carcinoma,Human,miR-23a-3p,,PTEN,
hsa_circ_0000520,Breast cancer,Human,miR-1296,,SP1,
hsa_circ_0000376,Non-small cell lung cancer,Human,miR-1182,,NOVA2,
hsa_circ_0103809,Bladder cancer,Human,miR-516a-5p,,FBXL18,
hsa_circ_0000735,Non-small cell lung cancer,Human,miR-940,,BMPER,
hsa_circ_0001206,Prostate cancer,Human,miR-141,,KLF5,
hsa_circ_0024108,Glioma,Human,miR-433,,HMGB3,
hsa_circ_0010090,Hepatocellular carcinoma,Human,miR-338,,LRP6,AGO2;IgG
hsa_circ_0082374,Glioma,Human,miR-326,,SIRT1,
hsa_circ_0001946,Glioblastoma,Human,,,,p53
hsa_circ_0007142,Colorectal cancer,Human,miR-455-5p,,SGK1,
hsa_circ_0072995,Epithelial ovarian cancer,Human,,miR-147a,CDK6,
hsa_circ_0003738,Psoriasis,Human,miR-562,,IL-17A,
hsa_circ_0003738,Psoriasis,Human,miR-490-5p,,IFN-γ,
hsa_circ_0000034,Retinoblastoma,Human,miR-361-3p,,WNT3A,
hsa_circ_0007031,Colorectal cancer,Human,miR-133b,,ABCC5,
Circ_0000140,Oral squamous cell carcinoma,Human,miR-182-5p,,CDC73,
hsa_circ_0000517,Hepatocellular carcinoma,Human,miR-326,,IGF1R,
hsa_circ_0029589,Atherosclerosis,Human,miR-424-5p,,IGF2,
hsa_circ_0037128,Diabetic nephropathy,Human,miR-17-3p,,AKT3,
hsa_circ_0026359,Gastric cancer,Human,miR-1200,,POLD4,
hsa_circ_0007874,Liver fibrosis,Human,,miR-181b-5p,PTEN,
hsa_circ_0072758,Laryngeal squamous cell carcinoma,Human,miR-493-5p,,GOLM1,
hsa_circ_0006835,Gastric cancer,Human,miR-149-5p,,YWHAZ,
hsa_circ_0074854,Colorectal cancer,Human,miR-610,,E2F1,
hsa_circ_0004058,Age-related cataract,Human,miR-23b-3p,,"GPX3, SIRT1, PRDX6, ALDH6A1, and SOD1",AGO
hsa_circ_0002768,Hepatocellular carcinoma,Human,miR29a,,KMT5C,
hsa_circ_0002211,Prostate cancer,Human,miR-346,,LHPP,
hsa_circ_0005615,Cervical cancer,Human,miR-9-5p,,SDC2,Ago2
hsa_circ_0023990,Colorectal cancer,Human,miR‑485‑5p,,CKS1B,"Ago2,IgG"
hsa_circ_0074854,Myocardial infarction,Human,miR-133,,,
hsa_circ_0000034,Retinoblastoma,Human,microRNA-361-3p,,,"Ago2,IgG"
hsa_circ_0000442,Breast cancer,Human,MiR-148b-3p,,"PTEN, PI3K, Akt",
hsa_circ_0000144,Thyroid cancer,Human,miR-217,,AKT3,
hsa_circ_0000284,Diabetic nephropathy,Human,miR-185,,,
hsa_circ_0015756,Hepatocellular carcinoma,Human,miR-610,,FGFR1,"anti-Ago2,anti-IgG"
hsa_circ_0013912,Pancreatic ductal adenocarcinoma,Human,miR-7-5p,,,"Ago2,IgG"
hsa_circ_001587,Pancreatic cancer,Human,miR-223,,SLC4A4,AGO2
hsa_circ_0000291,Breast cancer,Human,miR-326,,ETS1,
hsa_circ_0001313,Osteosarcoma,Human,miR-338-3p,,,
circVAPA ,Retinoblastoma,Human,miR-615-3p,,SMARCE1,
has_circ_0000034 ,Retinoblastoma,Human,miR-361-3p,,ADAM19 ,anti-ago2 or anti-IgG antibodies (Millipore)
hsa_circ_0008898,Oral squamous cell carcinoma,Human,miR-197-5p,,RHOA,
hsa_circ_0079593,Melanoma,Human,miR-516b,,GRM3,
hsa_circ_0011292,Non-small cell lung cancer,Human,miR-379-5p,,TRIM65,Ago2 antibody or IgG an-tibody
circHIPK3,Glioma,Human,miR-524-5p,,KIF2A ,
CircZFR,Breast cancer,Human,miR-578,,HIF1A,
circOSBPL10,Cervical cancer,Human,miR-1179,,UBE2Q1,anti-Ago2 (Millipore) or anti-IgG (Millipore)
hsa_circ_0020123,Non-small cell lung cancer,Human,miR-590-5p,,THBS2,anti-Ago2 antibody (Abcam) 
circSIPA1L1,Osteogenesis,Human,miR-617,,Smad3,
hsa_circ_001436,Melanoma,Human,miR-431-5p,,ROCK1,
circEPSTI1,Non-small cell lung cancer,Human,miR-1248,,TRIM24,
hsa_circ_0010220,Osteosarcoma,Human,miR-503-5p,,CDCA4,
hsa_circ_0000218,Laryngeal squamous cell carcinoma,Human,miR-139−3p,,Smad3,Ago2
hsa_circ_0008934,Osteosarcoma,Human,miR-145-5p ,,E2F3 ,
hsa_circ_0136666,Colorectal cancer,Human,miR-383,,CREB1,
hsa_circ_0000512,Colorectal cancer,Human,miR-296-5p,,RUNX1,"Ago2, IgG"
CircHIPK3,Clear cell renal cell carcinoma,Human,miR-508-3p,,CXCL13,
Circ-PRMT5,Non-small cell lung cancer,Human,miR-4458,,REV3L,
CircIL4R,Hepatocellular carcinoma,Human,miR-541-3p,,GPX4,Anti-AGO2 or Anti-IgG.
circFoxp1,Epithelial ovarian cancer,Human,,"miR-22, miR-150-3p，","CEBPG, FMNL3",
Circ-SMARCA5,Colorectal cancer,Human,miR-39-3p,,,
Circ_0046599,Hepatocellular carcinoma,Human,miR-1258,,RPN2 ,Anti-IgG or Anti-Ago2
CircEPSTI1,Non-small cell lung cancer,Human,miR-145,,HMGB3,Anti-IgG or Anti-Ago2
CircZNF609,Hepatocellular carcinoma,Human,miR-342-3p,,RAP2C,Ago2 or IgG
circLPAR3,Esophageal squamous cell carcinoma,Human,," miR-375, miR-433",,
CircTADA2A ,Colorectal cancer,Human,miR-374a-3p,,KLF14,
hsa_circ_0007334,Colorectal cancer,Human,miR-519d-3p,,,
hsa_circ_0029589,Atherosclerosis,Human,miR-214-3p,,STIM1,
circ-SLC7A6,Non-small cell lung cancer,Human,miR-21,,,
hsa_circ_0133622,Neuroblastoma,Human,miR-873,,GLI1,
circ-GRB10,Intervertebral disc degeneration,Human,miR-141-3p,,,
circTNPO3,Ovarian cancer,Human,miR-1299,,NEK2,
CircRSF1,Atherosclerosis,Human,miR-758,,CCND2,
circBC048201 ,Bladder cancer,Human,miR-1184,,ITGA3,
hsa_circ_101141,Hepatocellular carcinoma,Human,miR-1297,,ROCK1,
circARHGAP10,Non-small cell lung cancer,Human,miR-638,,FAM83F,
circ_101238,Keloid,Human,miR‑138‑5p,,CDK6,
hsa_circ_0007841,Multiple myeloma,Human,miR-338-3p,,BRD4,
circ_0008193,Lung adenocarcinoma,Human,miR-1180-3p,,TRIM62,
hsa_circ_0008035,Osteosarcoma,Human,microRNA-375,,,
circRACGAP1 ,Non-small cell lung cancer,Human,miR-144-5p,,CDKL1,
circHIPK3,Osteosarcoma,Human,miR637,,STAT3,
circMAGI3,Non-small cell lung cancer,Human,miR-515-5p,,HDGF,
circPOSTN,Glioma,Human,miR-361-5p,,TPX2,
hsa_circ_0000517,Hepatocellular carcinoma,Human,MiR-326 ,,SMAD6,Ago2
hsa_circ_0006156,Bladder cancer,Human,miR-1178-3p,,G3BP2,
hsa_circ_0067934,Non-small cell lung cancer,Human,miR-1182,,KLF8,"IgG, Ago2"
hsa_circ_0024097,Osteoporosis,Human,miR-376b-3p,,YAP1,Ago2
hsa_circ_0061052,Chronic obstructive pulmonary disease,Human,miR-515-5p,,FoxC1,
hsa_circ_0000284,Breast cancer,Human,miR-193a,,HMGB1,Ago2 
hsa_circ_0000284,Osteoarthritis,Human,miR-124,,SOX8,
hsa_circ_0068655,Myocardial infarction,Human,miR-498,,PAWR,
hsa_circ_0096157,Lung cancer,Human,miR-181,,NSCLC,
hsa_circ_0001946,Heart failure,Human,"miR-135a, miR-135b",,HMOX1,
hsa_circ_0001846,Cervical cancer,Human,miR-361-3p,,SOX4 ,
hsa_circ_0109291,Oral squamous cell carcinoma,Human,miR-188-3p,,ABCB1,"Ago2, IgG "
hsa_circ_0005728,Breast cancer,Human,miR-200a-3p,,,"Ago3, IgG"
hsa_circ_0104345,Breast cancer,Human,miR-145,,DNMT3A,Ago2 
hsa_circ_0016760,Non-small cell lung cancer,Human,miR-577,,ZBTB7A,"Ago2, IgG"
hsa_circ_0141940,Non-small cell lung cancer,Human,miR-195-5p ,,GLUT3,
hsa_circ_0082374,Non-small cell lung cancer,Human,let-7,,PD-L1,
hsa_circ_0067934,Esophageal cancer,Human,miR-186-5p,,PARP9,"Ago2, IgG"
hsa_circ_0113656,Human aortic smooth muscle cell,Human,miR-149-5p,,MMP9 ,Ago2
hsa_circ_0001588,Lung adenocarcinoma,Human,miR-524-3p,,NACC1,
hsa_circ_0001461,Osteosarcoma,Human,miR-181b,,HK2,
hsa_circ_0007874,Ovarian cancer,Human,miR-182-5p,,KLF15,
hsa_circ_0000376,Breast cancer,Human,miR-182,,ZFP36,
hsa_circ_0000105,Liver cancer,Human,miR-498,,PIK3R1,Ago2 
hsa_circ_0000274,Renal cell carcinoma,Human,miR-567,,PRDX3 ,Ago2 
hsa_circ_0000328,Renal cell carcinoma,Human,miR-502-5p,,SLC39A14,
hsa_circ_0017639,Glioma,Human,miR-182-5p,,Mtss1,
hsa_circ_0005758,Gastric cancer,Human,miR-452-5p,,KAT6B,
hsa_circ_0139996,Gastric cancer,Human,miR-558,,RUNX3,"Ago2, IgG"
hsa_circ_0076690,Osteoporosis,Human,miR-152,,hBMSCs,Ago2
hsa_circ_0000740,Clear cell renal cell carcinoma,Human,miR-489-3p,,MEK1,"Ago2, IgG"
hsa_circ_0035483,Prostate cancer,Human,miR-30b-5p,,KIF18A,"Ago2, IgG"
circ-ITCH,Ovarian cancer,Human,miR-106a,,CDH1,Ago2
hsa_circ_0000735,Prostate cancer,Human,miR-7,,docetaxel,"Ago2, IgG"
hsa_circ_0000073,Osteosarcoma,Human,"miR-145-5p, miR-151-3p",,NRAS,"Ago2, IgG"
hsa_circ_0046263,Nasopharyngeal carcinoma,Human,miR-133a-5p,,IGFBP3,"Ago2, IgG"
hsa_circ_0074169,Colon cancer,Human,miR-149-5p,,FOXM1,
hsa_circ_0017311,Osteosarcoma,Human,miR-421,,SLC25A3,
circITGA7,Thyroid cancer,Human,miR-198,,FGFR1,
hsa_circ_0005909,Osteosarcoma,Human,miR-936,,HMGB1,
circFANCL,Glioma,Human,miR-337-3p,,HMGB1,
circRNA-103809,Hepatocellular carcinoma,Human,miR-1270,,PLAGL2,
circHIPK3,Age-related cataract,Human,miR-221-3p,,PI3K/AKT,
CircAGFG1,Colorectal cancer,Human,"miR-4262, miR-185-5p",,"YY1, CTNNB1",
circVEGFC,Diabetes mellitus,Human,miR-338-3p,,HIF-1α,
circ_0081143,Gastric cancer,Human,miR-497-5p,,EGFR,
CircHECTD1,Hepatocellular carcinoma,Human,microRNA-485-5p,,MUC1,
circ9119,Ovarian cancer,Human,miR-21,,"PTEN, Akt",
hsa_circ_0088036,Rheumatoid arthritis,Human,miR-140-3p,,SIRT1,
circ_0091579,Hepatocellular carcinoma,Human,miR-490-5p,,CASC3,
hsa_circRPPH1_015,Breast cancer,Human,miR-326,,ELK1,
hsa_circ_0000527,Retinoblastoma,Human,miR-646,,LRP6,
Circ-DENND4C,Hepatocellular carcinoma,Human,miR-195-5p,,TCF4,
circ-CSPP1,Hepatocellular carcinoma,Human,miR-577,,CCNE2,
hsa-circ-0007766,Gastric carcinoma,Human,miR-1233-3p ,,GDF15,
hsa_circ_0066755,Nasopharyngeal carcinoma,Human,miR-651,,,
hsa_circ_0002755,Glioma,Human,miR-628-5p,,MAGT1,
circNFATC3,Hepatocellular carcinoma,Human,miR-548I,,NFATC3,
CiRS-7,Ovarian cancer,Human,miR-641 ,,"ZEB1, MDM2",
hsa_circ_0006988,Non-small cell lung cancer,Human,miR-137,,SLC1A5 ,
hsa_circ_0062558,Breast cancer,Human,miR-1204,,MMP11,
hsa_circ_0084922,Hepatocellular carcinoma,Human,,,Zeb1,
hsa_circ_0087378,Esophageal squamous cell carcinoma,Human,miR-140-3p,,NRIP1,
hsa_circ_0003119,Breast cancer,Human,miR-33a,,CCND1,
hsa_circ_0026134,Hepatocellular carcinoma,Human,miR-127-5p,,"TRIM25, IGF2BP3",
circDLGAP4,Lung cancer,Human,miR-143,,CDK1,
hsa_circ_0007334,Prostate cancer,Human,miR-1271-5p,,mTOR,
circ-HIPK3,Glioma,Human,miR-421,,ZIC5,
hsa_circ_0023064,Colon cancer,Human,miR-217,,HIF-1α,
circNRIP1,Gastric cancer,Human,miR-182,,ROCK1,
hsa_circ_0005394,Hepatocellular carcinoma,Human,"miR-507, miR-515-5p",,"E2F3, CXCL6",
circ-ABCB10,Glioma,Human,miR-620,,FABP5,
circDDX17,Breast cancer,Human,miR-605,,,
hsa_circ_0008234,Lung cancer,Human,miR-185-5p,,WNT1,
CircVCAN,Osteoarthritis,Human,,,,
circFGD4,Gastric cancer,Human,miR-532-3p,,APC,
hsa_circ_0070934,Cutaneous squamous cell carcinoma,Human,miR-1236-3p,,HOXB7,
circ-TIMP2,Intervertebral disc degeneration,Human,miR-185-5p,,MMP2,
hsa_circ_0101802,Colorectal cancer,Human,,"hsa-miR-6833-3p, hsa-let-7i-3p, hsa-miR-1301-3p",,
circRNA_10156,Liver cancer,Human,miR-149-3p,,Akt1,
hsa_circ_0061140,Endometriosis,Human,miR-140-3p,,Notch2,
hsa_circ_0011269,Osteoporosis,Human,miR-122,,RUNX2,
hsa_circ_0082003,Non-small cell lung cancer,Human,miR-145-5p,,CXCL3,
hsa_circ_0003204,Atherosclerosis,Human,miR-98-5p,,VCAM1,AGO2
circ-LARP4,Non-small cell lung cancer,Human,miR-21-5p,,,
circ-FOXO3,Bladder cancer,Human,miR-9-5p,,TGFBR2,
hsa_circ_0045602,Gastric cancer,Human,,"miR-1248, miR-375",,AGO2
hsa_circ_0101308,Cervical cancer,Human,,"miR-26a-5p, miR-196a-5p, miR-196b-5p, miR-335-3p, and miR-1307-3p",,
hsa_circ_0136666,Colorectal cancer,Human,miR-375,,FOXM1,AGO2
hsa_circ_0036722,Laryngeal squamous cell carcinoma,Human,"miR-1248, miR-1248",,RHCG,
hsa_circ_0002130,Non-small cell lung cancer,Human,miR-498,,"GLUT1, HK2, LDHA",
hsa_circ_0000977,Colorectal cancer,Human,"miR-135a-5p, miR-135b-5p",,KLF9,Ago2
hsa_circ_0079586,Glioma,Human,miR-183-5p,,MDM4,
hsa_circ_0007385,Non-small cell lung cancer,Human,miR-519d-3p,,HMGB1,
hsa_circ_0075686,Glioma,Human,miR-526b-3p,,MMP2,IgG (Millipore)
hsa_circ_0000936,Gastric cancer,Human,miR-582-3p,,"HUR, VEGF","AGO2,  anti-HSP90(Proteintech) or anti-HUR"
hsa_circ_0026134,Non-small cell lung cancer,Human,miR-143-3p,,,
hsa_circ_0025033,Lung cancer,Human,miR-3619-5p,,SPAG5,
hsa_circ_0080145,Chronic myeloid leukemia,Human,miR-326,,PPFIA1,
hsa_circ_0048677,Hepatocellular carcinoma,Human,miR-449c-5p,,TIM-3,"anti-Argonaute 2 (AGO2), IgG antibodies"
hsa_circ_0009910,Ovarian cancer,Human,miR-145,,,
hsa_circ_0111277,Preeclampsia,Human,miR-494-3p,,"HTRA1, Notch-1",
hsa_circ_0004018,Liver fibrosis,Human,hsa-miR-660-3p,,TEP1,
hsa_circ_100721,Thyroid cancer,Human,miR-124,,STAT3,
hsa_circ_0004339,Gastric cancer,Human,miR-802,,BMI1,
hsa_circ_0003949,Hepatocellular carcinoma,Human,miR-326,,"ErbB, PI3K",
hsa_circ_0074027,Non-small cell lung cancer,Human,miR-335-5p,,CUL4B,
hsa_circ_0072309,Non-small cell lung cancer,Human,miR-580-3p,,,
hsa_circ_0100338,Ischemia reperfusion injury,Human,miR-200a-3p,,,FUS
hsa_circ_103809,Gastric cancer,Human,microRNA-101-3p,,SRF,
hsa_circ_0008717,Lung cancer,Human,microRNA-217,,,
hsa_circ_0008717,Rectal cancer,Human,miR-326,,CCL5,
hsa_circ_0038646,Colorectal cancer,Human,miR-331-3p,,GRIK3,
hsa_circ_0023642,Gastric cancer,Human,miR-223,,FGFR2,AGO2
hsa_circ_0064574,Gastric cancer,Human,miR-502-3p,,"OLFM4, STAT3",
hsa_circ_0101145,Hepatocellular carcinoma,Human,miR-548c-3p,,LAMC2,
hsa_circ_0003645,Atherosclerosis,Human,,,"oxLDL, NF-κB",
hsa_circ_0003998,Hepatocellular carcinoma,Human,miR-143-3p,,PCBP1,"anti-IgG, AGO2"
hsa_Circ_0007841,Multiple myeloma,Human,,,ABCG2,
hsa_circ_0000284,Non-small cell lung cancer,Human,miR-377-3p,,PD-L1,"anti-IgG, anti-AGO2"
hsa_circ_0027345,Hepatocellular carcinoma,Human,miR-345-5p,,HOXD3,
hsa_circ_0008433,Endometriosis,Human,"hsa-miR-34a-5p, has-miR-221-3p, has-miR-222-3p, has-miR-181-5p, has-miR-449a, hsa-miR-125a-5p, has-miR-449b-5p, has-miR-483-3p, hsa-miR-502-5p, and hsa-miR-582-5p",,"C-MET, E2F, SNAIL, C-KIT, NOTCH1",
hsa_circ_0102958,Ovarian cancer,Human,miR-1205,,SH2D3A,
hsa_circ_0131242,Triple negative breast cancer,Human,hsa-miR-2682,,,
hsa_circ_0000284,Prostate cancer,Human,miR-338-3p,,Cdc25B,"anti-Argonaute2 
(Ago2)"
hsa_circ_0025508,Hepatocellular carcinoma,Human,miR-1283,,"YAP1, TEAD1","anti-Argonaute 2(AGO2), anti-immunoglobulin G (IgG)"
hsa_circ_0000043,Polycystic ovary syndrome,Human,miR-760,,,AGO2
hsa_circ_0003732,Osteosarcoma,Human,miR-545,,CCNA2,
circ_UBXN7,Liver cancer,Human,miR-203a,,,
hsa_circ_0003340,Esophageal cancer,Human,miR-564,,TPX2,
hsa_circ_0000670,Gastric cancer,Human,microRNA-384,,SIX4,
circZNF566,Hepatocellular carcinoma,Human,miR-4738-3p,,TDO2,anti-AGO2
circUBAP2,Osteosarcoma,Human,miR-641,,YAP1,
hsa_circ_0005100,Prostate cancer,Human,miR-1238,,LHX2,anti-Argonaute2(AGO2); anti-IgG
hsa_circ_0003506,Gastric cancer,Human,miR-1205,,E2F1,anti-Ago2; normal mouse IgG
hsa_circ_0002768,Laryngocarcinoma,Human,microRNA-145-5p,,MEK/ERK; NF-κB,
hsa_circ_0072088,Non-small cell lung cancer,Human,miR-377-5p,,NOVA2,Anti-Ago2; Anti-IgG
hsa_circ_0000517,Hepatocellular carcinoma,Human,miR-1296-5p,,TXNDC5,Ago2
circRNA-9119,Osteoarthritis,Human,miR-26a,,PTEN,Ago2
Circ-CSPP1,Hepatocellular carcinoma,Human,miR-577,,CCNE2,
hsa_circ_0000848,Fetal growth restriction,Human,hsa-miR-6768-5p,,SMAD7,Ago2
hsa_circ_0109320,Non-small cell lung cancer,Human,miR-595,,E2F7,
hsa_circ_0078607,Ovarian cancer,Human,miR-518a-5p,,Fas,
hsa_circ_0004442,Renal cell carcinoma,Human,miR-136-5p,,CBX4,
hsa_circ_0124644,Atherosclerosis,Human,miR‑149‑5p,,PAPP-A,
circTP53,Thyroid cancer,Human,miR-1233-3p,,MDM2,
hsa_circ_0000144,Gastric cancer,Human,miR-204-5p,,MYH9,Ago2
